Time,Total solar irradiance (W/m2),Direct normal irradiance (W/m2),Global horizontal irradiance (W/m2),Relative humidity (%),Power (MW)
2019-01-01 00:00:00,0.0,0.0,0.0,38.85,0.0
2019-01-01 01:00:00,0.0,0.0,0.0,38.85,0.0
2019-01-01 02:00:00,0.0,0.0,0.0,38.35,0.0
2019-01-01 03:00:00,0.0,0.0,0.0,40.075,0.0
2019-01-01 04:00:00,0.0,0.0,0.0,42.05,0.0
2019-01-01 05:00:00,0.0,0.0,0.0,43.125,0.0
2019-01-01 06:00:00,0.0,0.0,0.0,45.125,0.0
2019-01-01 07:00:00,0.0,0.0,0.0,47.375,0.0
2019-01-01 08:00:00,0.0,0.0,0.0,47.3,0.0
2019-01-01 09:00:00,42.75,6.0,15.5,47.25,0.8689665
2019-01-01 10:00:00,348.75,43.5,106.75,47.075,11.1880495
2019-01-01 11:00:00,540.0,33.75,211.75,41.5,23.83679925
2019-01-01 12:00:00,764.25,32.5,340.25,34.4,32.565549
2019-01-01 13:00:00,811.0,20.0,399.25,32.25,35.5165995
2019-01-01 14:00:00,728.5,15.0,344.25,29.475,32.371199250000004
2019-01-01 15:00:00,588.0,12.75,251.0,26.450000000000003,28.0263155
2019-01-01 16:00:00,440.75,11.5,148.5,26.575,18.622749
2019-01-01 17:00:00,77.25,2.75,48.25,28.375,2.7318664999999998
2019-01-01 18:00:00,3.0,0.5,2.5,32.425,0.00741675
2019-01-01 19:00:00,0.0,0.0,0.0,34.0,0.0
2019-01-01 20:00:00,0.0,0.0,0.0,34.55,0.0
2019-01-01 21:00:00,0.0,0.0,0.0,33.7,0.0
2019-01-01 22:00:00,0.0,0.0,0.0,35.8,0.0
2019-01-01 23:00:00,0.0,0.0,0.0,38.125,0.0
2019-01-02 00:00:00,0.0,0.0,0.0,39.7,0.0
2019-01-02 01:00:00,0.0,0.0,0.0,42.55,0.0
2019-01-02 02:00:00,0.0,0.0,0.0,42.275,0.0
2019-01-02 03:00:00,0.0,0.0,0.0,46.225,0.0
2019-01-02 04:00:00,0.0,0.0,0.0,47.75,0.0
2019-01-02 05:00:00,0.0,0.0,0.0,49.25,0.0
2019-01-02 06:00:00,0.0,0.0,0.0,50.75,0.0
2019-01-02 07:00:00,0.0,0.0,0.0,50.1,0.0
2019-01-02 08:00:00,0.0,0.0,0.0,49.65,0.0
2019-01-02 09:00:00,42.5,5.25,13.75,53.05,0.9288667499999999
2019-01-02 10:00:00,355.75,47.0,94.0,49.675,11.36356625
2019-01-02 11:00:00,627.0,48.0,213.5,39.025000000000006,26.6530155
2019-01-02 12:00:00,780.5,37.75,324.0,36.7,34.5290825
2019-01-02 13:00:00,864.75,23.25,403.25,35.475,38.048747750000004
2019-01-02 14:00:00,843.25,17.75,378.25,32.55,37.05323175
2019-01-02 15:00:00,707.0,14.25,277.0,29.975,32.434683
2019-01-02 16:00:00,500.5,12.5,150.25,30.25,20.758382
2019-01-02 17:00:00,219.0,7.25,53.25,31.9,5.24555
2019-01-02 18:00:00,6.0,1.0,3.0,33.9,0.06165
2019-01-02 19:00:00,0.0,0.0,0.0,34.75,0.0
2019-01-02 20:00:00,0.0,0.0,0.0,35.574999999999996,0.0
2019-01-02 21:00:00,0.0,0.0,0.0,37.575,0.0
2019-01-02 22:00:00,0.0,0.0,0.0,38.325,0.0
2019-01-02 23:00:00,0.0,0.0,0.0,39.575,0.0
2019-01-03 00:00:00,0.0,0.0,0.0,40.625,0.0
2019-01-03 01:00:00,0.0,0.0,0.0,41.15,0.0
2019-01-03 02:00:00,0.0,0.0,0.0,45.125,0.0
2019-01-03 03:00:00,0.0,0.0,0.0,47.45,0.0
2019-01-03 04:00:00,0.0,0.0,0.0,49.425,0.0
2019-01-03 05:00:00,0.0,0.0,0.0,51.45,0.0
2019-01-03 06:00:00,0.0,0.0,0.0,51.675,0.0
2019-01-03 07:00:00,0.0,0.0,0.0,52.175,0.0
2019-01-03 08:00:00,0.0,0.0,0.0,52.4,0.0
2019-01-03 09:00:00,43.25,5.75,13.0,53.325,0.96393325
2019-01-03 10:00:00,377.0,55.5,95.5,51.0,11.812415999999999
2019-01-03 11:00:00,609.0,51.5,205.25,43.975,26.204148500000002
2019-01-03 12:00:00,781.25,40.75,321.0,37.475,34.29048425
2019-01-03 13:00:00,844.5,24.5,389.25,33.9,37.05776525
2019-01-03 14:00:00,822.5,17.75,367.5,34.6,37.074115500000005
2019-01-03 15:00:00,691.75,14.25,269.25,34.9,32.189899249999996
2019-01-03 16:00:00,505.5,12.25,150.5,33.125,21.16739975
2019-01-03 17:00:00,220.5,7.75,55.0,33.325,5.46521675
2019-01-03 18:00:00,8.0,1.25,3.5,36.5,0.0974
2019-01-03 19:00:00,0.0,0.0,0.0,39.925,0.0
2019-01-03 20:00:00,0.0,0.0,0.0,40.725,0.0
2019-01-03 21:00:00,0.0,0.0,0.0,42.349999999999994,0.0
2019-01-03 22:00:00,0.0,0.0,0.0,43.55,0.0
2019-01-03 23:00:00,0.0,0.0,0.0,42.1,0.0
2019-01-04 00:00:00,0.0,0.0,0.0,45.675,0.0
2019-01-04 01:00:00,0.0,0.0,0.0,48.775,0.0
2019-01-04 02:00:00,0.0,0.0,0.0,50.25,0.0
2019-01-04 03:00:00,0.0,0.0,0.0,53.725,0.0
2019-01-04 04:00:00,0.0,0.0,0.0,55.275,0.0
2019-01-04 05:00:00,0.0,0.0,0.0,58.55,0.0
2019-01-04 06:00:00,0.0,0.0,0.0,59.675,0.0
2019-01-04 07:00:00,0.0,0.0,0.0,60.2,0.0
2019-01-04 08:00:00,0.0,0.0,0.0,59.225,0.0
2019-01-04 09:00:00,41.75,6.0,18.25,60.0,1.1865835
2019-01-04 10:00:00,371.25,57.25,100.75,58.875,11.8275495
2019-01-04 11:00:00,498.25,37.75,199.25,50.6,20.428016
2019-01-04 12:00:00,310.5,10.75,188.75,41.825,15.67136575
2019-01-04 13:00:00,348.75,9.75,225.75,41.6,16.48386575
2019-01-04 14:00:00,574.25,13.75,289.25,40.6,27.17408175
2019-01-04 15:00:00,424.75,9.25,227.0,39.625,17.22003275
2019-01-04 16:00:00,507.0,12.75,162.25,35.375,21.25969975
2019-01-04 17:00:00,191.25,7.75,51.75,34.6,5.26426675
2019-01-04 18:00:00,6.75,1.0,3.5,37.9,0.11983325
2019-01-04 19:00:00,0.0,0.0,0.0,42.4,0.0
2019-01-04 20:00:00,0.0,0.0,0.0,43.225,0.0
2019-01-04 21:00:00,0.0,0.0,0.0,44.6,0.0
2019-01-04 22:00:00,0.0,0.0,0.0,44.35,0.0
2019-01-04 23:00:00,0.0,0.0,0.0,48.550000000000004,0.0
2019-01-05 00:00:00,0.0,0.0,0.0,51.475,0.0
2019-01-05 01:00:00,0.0,0.0,0.0,51.15,0.0
2019-01-05 02:00:00,0.0,0.0,0.0,50.9,0.0
2019-01-05 03:00:00,0.0,0.0,0.0,53.925,0.0
2019-01-05 04:00:00,0.0,0.0,0.0,57.95,0.0
2019-01-05 05:00:00,0.0,0.0,0.0,57.05,0.0
2019-01-05 06:00:00,0.0,0.0,0.0,58.975,0.0
2019-01-05 07:00:00,0.0,0.0,0.0,60.75,0.0
2019-01-05 08:00:00,0.0,0.0,0.0,61.475,0.0
2019-01-05 09:00:00,23.5,2.75,11.0,60.175,0.71178325
2019-01-05 10:00:00,294.0,45.75,74.75,58.725,10.5062165
2019-01-05 11:00:00,619.5,64.5,188.25,50.4,26.669832749999998
2019-01-05 12:00:00,779.25,53.25,298.25,44.05,34.4138325
2019-01-05 13:00:00,862.25,33.25,375.25,41.15,37.4798485
2019-01-05 14:00:00,831.25,19.75,353.75,36.65,36.483565999999996
2019-01-05 15:00:00,703.25,16.0,258.5,35.3,31.8883655
2019-01-05 16:00:00,516.0,13.5,146.5,35.575,21.443766
2019-01-05 17:00:00,229.5,8.75,55.0,33.7,5.86534975
2019-01-05 18:00:00,9.25,1.5,4.25,34.325,0.12528325
2019-01-05 19:00:00,0.0,0.0,0.0,36.125,0.0
2019-01-05 20:00:00,0.0,0.0,0.0,36.6,0.0
2019-01-05 21:00:00,0.0,0.0,0.0,39.6,0.0
2019-01-05 22:00:00,0.0,0.0,0.0,40.6,0.0
2019-01-05 23:00:00,0.0,0.0,0.0,44.75,0.0
2019-01-06 00:00:00,0.0,0.0,0.0,46.9,0.0
2019-01-06 01:00:00,0.0,0.0,0.0,49.9,0.0
2019-01-06 02:00:00,0.0,0.0,0.0,51.25,0.0
2019-01-06 03:00:00,0.0,0.0,0.0,49.4,0.0
2019-01-06 04:00:00,0.0,0.0,0.0,50.65,0.0
2019-01-06 05:00:00,0.0,0.0,0.0,50.425,0.0
2019-01-06 06:00:00,0.0,0.0,0.0,51.525,0.0
2019-01-06 07:00:00,0.0,0.0,0.0,51.475,0.0
2019-01-06 08:00:00,0.0,0.0,0.0,50.15,0.0
2019-01-06 09:00:00,29.25,5.0,12.5,51.175,0.8519000000000001
2019-01-06 10:00:00,309.5,56.0,77.5,51.525,10.5720665
2019-01-06 11:00:00,566.75,63.5,166.25,42.0,24.43959975
2019-01-06 12:00:00,771.5,59.0,278.25,36.85,33.550165
